Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.01,
Sample Interval,8e-07,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH2,CH2 Peak Detect
-4.74664e-02,0.006,-0.002
-4.74656e-02,0.01,0.026
-4.74648e-02,0.014,-0.002
-4.74640e-02,0.014,0.022
-4.74632e-02,0.006,-0.002
-4.74624e-02,0.01,0.022
-4.74616e-02,0.014,-0.002
-4.74608e-02,0.014,0.022
-4.74600e-02,0.018,-0.006
-4.74592e-02,0.006,0.03
-4.74584e-02,0.014,0.002
-4.74576e-02,0.018,0.03
-4.74568e-02,0.018,-0.002
-4.74560e-02,0.014,0.026
-4.74552e-02,0.018,-0.002
-4.74544e-02,0.01,0.022
-4.74536e-02,0.006,0.002
-4.74528e-02,0.01,0.022
-4.74520e-02,0.006,-0.006
-4.74512e-02,0.01,0.03
-4.74504e-02,0.006,0.002
-4.74496e-02,0.01,0.022
-4.74488e-02,0.014,0.002
-4.74480e-02,0.018,0.026
-4.74472e-02,0.01,0.002
-4.74464e-02,0.018,0.026
-4.74456e-02,0.01,-0.002
-4.74448e-02,0.014,0.022
-4.74440e-02,0.002,-0.014
-4.74432e-02,0.006,0.034
-4.74424e-02,0.01,-0.002
-4.74416e-02,0.014,0.022
-4.74408e-02,0.006,-0.002
-4.74400e-02,0.014,0.022
-4.74392e-02,0.014,-0.002
-4.74384e-02,0.01,0.026
-4.74376e-02,0.006,-0.002
-4.74368e-02,0.014,0.022
-4.74360e-02,0.01,-0.006
-4.74352e-02,0.014,0.03
-4.74344e-02,0.014,0.002
-4.74336e-02,0.018,0.026
-4.74328e-02,0.014,0.002
-4.74320e-02,0.018,0.026
-4.74312e-02,0.01,0.002
-4.74304e-02,0.01,0.026
-4.74296e-02,0.018,0.002
-4.74288e-02,0.014,0.022
-4.74280e-02,0.014,-0.006
-4.74272e-02,0.006,0.03
-4.74264e-02,0.014,0.002
-4.74256e-02,0.006,0.022
-4.74248e-02,0.01,-0.002
-4.74240e-02,0.018,0.022
-4.74232e-02,0.014,0.002
-4.74224e-02,0.014,0.026
-4.74216e-02,0.01,-0.002
-4.74208e-02,0.014,0.026
-4.74200e-02,0.01,-0.006
-4.74192e-02,0.014,0.034
-4.74184e-02,0.014,-0.002
-4.74176e-02,0.014,0.022
-4.74168e-02,0.01,0.002
-4.74160e-02,0.014,0.022
-4.74152e-02,0.018,-0.002
-4.74144e-02,0.014,0.022
-4.74136e-02,0.022,-0.002
-4.74128e-02,0.018,0.026
-4.74120e-02,0.01,-0.006
-4.74112e-02,0.014,0.034
-4.74104e-02,0.014,0.002
-4.74096e-02,0.01,0.022
-4.74088e-02,0.01,-0.002
-4.74080e-02,0.018,0.022
-4.74072e-02,0.014,0.002
-4.74064e-02,0.01,0.022
-4.74056e-02,0.018,-0.006
-4.74048e-02,0.018,0.022
-4.74040e-02,0.01,-0.006
-4.74032e-02,0.014,0.034
-4.74024e-02,0.01,0.002
-4.74016e-02,0.01,0.022
-4.74008e-02,0.014,-0.002
-4.74000e-02,0.014,0.022
-4.73992e-02,0.01,-0.002
-4.73984e-02,0.002,0.026
-4.73976e-02,0.01,-0.002
-4.73968e-02,0.022,0.026
-4.73960e-02,0.01,-0.002
-4.73952e-02,0.014,0.034
-4.73944e-02,0.018,0.002
-4.73936e-02,0.014,0.026
-4.73928e-02,0.01,0.002
-4.73920e-02,0.018,0.026
-4.73912e-02,0.014,-0.002
-4.73904e-02,-0.002,0.022
-4.73896e-02,0.01,-0.01
-4.73888e-02,0.01,0.03
-4.73880e-02,0.014,-0.006
-4.73872e-02,0.014,0.026
-4.73864e-02,0.014,-0.002
-4.73856e-02,0.014,0.022
-4.73848e-02,0.014,-0.002
-4.73840e-02,0.014,0.022
-4.73832e-02,0.01,0.002
-4.73824e-02,0.01,0.026
-4.73816e-02,0.01,-0.01
-4.73808e-02,0.018,0.034
-4.73800e-02,0.018,-0.002
-4.73792e-02,0.014,0.026
-4.73784e-02,0.014,-0.002
-4.73776e-02,0.014,0.026
-4.73768e-02,0.018,-0.002
-4.73760e-02,0.022,0.026
-4.73752e-02,0.014,0.002
-4.73744e-02,0.014,0.026
-4.73736e-02,0.01,-0.006
-4.73728e-02,0.018,0.034
-4.73720e-02,0.014,0.002
-4.73712e-02,0.01,0.026
-4.73704e-02,0.01,0.002
-4.73696e-02,0.014,0.026
-4.73688e-02,0.01,0.002
-4.73680e-02,0.014,0.022
-4.73672e-02,0.014,0.002
-4.73664e-02,0.01,0.026
-4.73656e-02,0.018,-0.006
-4.73648e-02,0.01,0.034
-4.73640e-02,0.014,-0.002
-4.73632e-02,0.006,0.026
-4.73624e-02,0.014,0.002
-4.73616e-02,0.018,0.022
-4.73608e-02,0.01,0.002
-4.73600e-02,0.01,0.026
-4.73592e-02,0.018,0.002
-4.73584e-02,0.014,0.026
-4.73576e-02,0.01,-0.01
-4.73568e-02,0.014,0.038
-4.73560e-02,0.014,0.002
-4.73552e-02,0.014,0.022
-4.73544e-02,0.014,-0.002
-4.73536e-02,0.014,0.026
-4.73528e-02,0.014,0.002
-4.73520e-02,0.01,0.026
-4.73512e-02,0.01,0.002
-4.73504e-02,0.014,0.022
-4.73496e-02,0.014,-0.002
-4.73488e-02,0.014,0.034
-4.73480e-02,0.014,-0.002
-4.73472e-02,0.014,0.022
-4.73464e-02,0.014,0.002
-4.73456e-02,0.01,0.026
-4.73448e-02,0.014,0.006
-4.73440e-02,0.018,0.03
-4.73432e-02,0.01,0.002
-4.73424e-02,0.01,0.026
-4.73416e-02,0.014,-0.006
-4.73408e-02,0.014,0.034
-4.73400e-02,0.01,0.002
-4.73392e-02,0.01,0.026
-4.73384e-02,0.006,0.002
-4.73376e-02,0.01,0.026
-4.73368e-02,0.006,-0.002
-4.73360e-02,0.014,0.022
-4.73352e-02,0.018,-0.002
-4.73344e-02,0.018,0.026
-4.73336e-02,0.018,-0.002
-4.73328e-02,0.014,0.034
-4.73320e-02,0.014,0.002
-4.73312e-02,0.014,0.022
-4.73304e-02,0.014,-0.002
-4.73296e-02,0.006,0.022
-4.73288e-02,0.014,-0.002
-4.73280e-02,0.014,0.026
-4.73272e-02,0.014,0.002
-4.73264e-02,0.01,0.026
-4.73256e-02,0.01,-0.01
-4.73248e-02,0.014,0.034
-4.73240e-02,0.022,0.002
-4.73232e-02,0.014,0.026
-4.73224e-02,0.022,0.002
-4.73216e-02,0.014,0.026
-4.73208e-02,0.014,0.002
-4.73200e-02,0.01,0.026
-4.73192e-02,0.022,0.002
-4.73184e-02,0.01,0.026
-4.73176e-02,0.018,-0.006
-4.73168e-02,0.018,0.03
-4.73160e-02,0.014,0.006
-4.73152e-02,0.01,0.026
-4.73144e-02,0.014,-0.002
-4.73136e-02,0.006,0.026
-4.73128e-02,0.018,0.002
-4.73120e-02,0.018,0.022
-4.73112e-02,0.026,-0.002
-4.73104e-02,0.006,0.026
-4.73096e-02,0.01,-0.01
-4.73088e-02,0.006,0.03
-4.73080e-02,0.014,0.002
-4.73072e-02,0.01,0.022
-4.73064e-02,0.014,-0.002
-4.73056e-02,0.018,0.022
-4.73048e-02,0.01,-0.002
-4.73040e-02,0.014,0.026
-4.73032e-02,0.022,0.002
-4.73024e-02,0.01,0.022
-4.73016e-02,0.018,-0.006
-4.73008e-02,0.014,0.034
-4.73000e-02,0.014,0.002
-4.72992e-02,0.014,0.026
-4.72984e-02,0.006,0.002
-4.72976e-02,0.014,0.022
-4.72968e-02,0.01,-0.002
-4.72960e-02,0.006,0.022
-4.72952e-02,0.006,0.002
-4.72944e-02,0.014,0.022
-4.72936e-02,0.014,-0.006
-4.72928e-02,0.01,0.034
-4.72920e-02,0.01,-0.002
-4.72912e-02,0.014,0.026
-4.72904e-02,0.018,0.002
-4.72896e-02,0.014,0.022
-4.72888e-02,0.01,0.002
-4.72880e-02,0.014,0.026
-4.72872e-02,0.01,0.006
-4.72864e-02,0.018,0.026
-4.72856e-02,0.01,-0.01
-4.72848e-02,0.014,0.038
-4.72840e-02,0.014,0.002
-4.72832e-02,0.01,0.03
-4.72824e-02,0.018,0.002
-4.72816e-02,0.01,0.026
-4.72808e-02,0.014,-0.002
-4.72800e-02,0.014,0.026
-4.72792e-02,0.014,-0.002
-4.72784e-02,0.014,0.026
-4.72776e-02,0.018,-0.002
-4.72768e-02,0.014,0.034
-4.72760e-02,0.01,0.002
-4.72752e-02,0.014,0.026
-4.72744e-02,0.01,-0.002
-4.72736e-02,0.014,0.022
-4.72728e-02,0.014,0.002
-4.72720e-02,0.018,0.026
-4.72712e-02,0.01,0.002
-4.72704e-02,0.018,0.03
-4.72696e-02,0.014,-0.006
-4.72688e-02,0.014,0.034
-4.72680e-02,0.014,0.002
-4.72672e-02,0.006,0.022
-4.72664e-02,0.01,0.002
-4.72656e-02,0.018,0.026
-4.72648e-02,0.018,-0.002
-4.72640e-02,0.006,0.026
-4.72632e-02,0.018,0.002
-4.72624e-02,0.014,0.026
-4.72616e-02,0.014,-0.01
-4.72608e-02,0.01,0.034
-4.72600e-02,0.014,-0.002
-4.72592e-02,0.01,0.022
-4.72584e-02,0.014,0.002
-4.72576e-02,0.018,0.022
-4.72568e-02,0.014,0.002
-4.72560e-02,0.022,0.022
-4.72552e-02,0.014,0.002
-4.72544e-02,0.022,0.022
-4.72536e-02,0.014,-0.006
-4.72528e-02,0.014,0.034
-4.72520e-02,0.01,0.002
-4.72512e-02,0.014,0.026
-4.72504e-02,0.01,-0.002
-4.72496e-02,0.018,0.026
-4.72488e-02,0.014,0.002
-4.72480e-02,0.014,0.022
-4.72472e-02,0.01,0.002
-4.72464e-02,0.01,0.022
-4.72456e-02,0.018,-0.002
-4.72448e-02,0.014,0.03
-4.72440e-02,0.014,0.002
-4.72432e-02,0.014,0.026
-4.72424e-02,0.01,-0.002
-4.72416e-02,0.018,0.026
-4.72408e-02,0.006,0.002
-4.72400e-02,0.006,0.022
-4.72392e-02,0.014,-0.002
-4.72384e-02,0.01,0.022
-4.72376e-02,0.006,-0.01
-4.72368e-02,0.014,0.034
-4.72360e-02,0.014,0.006
-4.72352e-02,0.014,0.026
-4.72344e-02,0.014,0.002
-4.72336e-02,0.014,0.026
-4.72328e-02,0.014,0.002
-4.72320e-02,0.01,0.026
-4.72312e-02,0.01,-0.006
-4.72304e-02,0.01,0.026
-4.72296e-02,0.01,-0.002
-4.72288e-02,0.014,0.034
-4.72280e-02,0.014,0.002
-4.72272e-02,0.014,0.022
-4.72264e-02,0.014,-0.002
-4.72256e-02,0.014,0.026
-4.72248e-02,0.014,-0.002
-4.72240e-02,0.002,0.026
-4.72232e-02,0.014,-0.006
-4.72224e-02,0.01,0.034
-4.72216e-02,0.018,0.002
-4.72208e-02,0.018,0.026
-4.72200e-02,0.01,0.002
-4.72192e-02,0.018,0.026
-4.72184e-02,0.014,0.006
-4.72176e-02,0.01,0.026
-4.72168e-02,0.01,-0.002
-4.72160e-02,0.01,0.026
-4.72152e-02,0.01,-0.006
-4.72144e-02,0.01,0.038
-4.72136e-02,0.01,0.002
-4.72128e-02,0.014,0.03
-4.72120e-02,0.018,0.002
-4.72112e-02,0.01,0.026
-4.72104e-02,0.014,0.002
-4.72096e-02,0.014,0.026
-4.72088e-02,0.01,0.002
-4.72080e-02,0.01,0.026
-4.72072e-02,0.018,-0.006
-4.72064e-02,0.014,0.038
-4.72056e-02,0.006,0.002
-4.72048e-02,0.014,0.026
-4.72040e-02,0.01,0.002
-4.72032e-02,0.01,0.026
