Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH2,CH2 Peak Detect
1.560880e-03,0.06,0.02
1.560960e-03,0.06,0.1
1.561040e-03,0.02,0.02
1.561120e-03,0.06,0.06
1.561200e-03,0.06,0.02
1.561280e-03,0.06,0.06
1.561360e-03,0.06,0.02
1.561440e-03,0.06,0.06
1.561520e-03,0.06,0.02
1.561600e-03,0.06,0.06
1.561680e-03,0.06,0.02
1.561760e-03,0.06,0.06
1.561840e-03,0.06,0.02
1.561920e-03,0.06,0.06
1.562000e-03,0.02,0.02
1.562080e-03,0.06,0.06
1.562160e-03,0.06,0.02
1.562240e-03,0.06,0.06
1.562320e-03,0.02,0.02
1.562400e-03,0.06,0.06
1.562480e-03,0.02,0.02
1.562560e-03,0.06,0.06
1.562640e-03,0.06,0.02
1.562720e-03,0.02,0.06
1.562800e-03,0.06,0.02
1.562880e-03,0.06,0.06
1.562960e-03,0.02,0.02
1.563040e-03,0.02,0.06
1.563120e-03,0.06,0.02
1.563200e-03,0.06,0.06
1.563280e-03,0.06,0.02
1.563360e-03,0.02,0.1
1.563440e-03,0.06,0.02
1.563520e-03,0.02,0.06
1.563600e-03,0.06,0.02
1.563680e-03,0.06,0.06
1.563760e-03,0.06,0.02
1.563840e-03,0.06,0.1
1.563920e-03,0.06,0.02
1.564000e-03,0.02,0.06
1.564080e-03,0.06,0.02
1.564160e-03,0.06,0.06
1.564240e-03,0.02,0.02
1.564320e-03,0.06,0.06
1.564400e-03,0.02,0.02
1.564480e-03,0.06,0.06
1.564560e-03,0.02,0.02
1.564640e-03,0.02,0.06
1.564720e-03,0.06,0.02
1.564800e-03,0.06,0.06
1.564880e-03,0.06,0.02
1.564960e-03,0.06,0.06
1.565040e-03,0.06,0.02
1.565120e-03,0.06,0.06
1.565200e-03,0.06,0.02
1.565280e-03,0.06,0.06
1.565360e-03,0.06,0.02
1.565440e-03,0.06,0.06
1.565520e-03,0.06,0.02
1.565600e-03,0.06,0.06
1.565680e-03,0.06,0.02
1.565760e-03,0.06,0.1
1.565840e-03,0.02,0.02
1.565920e-03,0.02,0.06
1.566000e-03,0.06,0.02
1.566080e-03,0.06,0.06
1.566160e-03,0.06,0.02
1.566240e-03,0.06,0.06
1.566320e-03,0.06,0.02
1.566400e-03,0.06,0.1
1.566480e-03,0.06,0.02
1.566560e-03,0.02,0.1
1.566640e-03,0.02,0.02
1.566720e-03,0.06,0.06
1.566800e-03,0.06,0.02
1.566880e-03,0.02,0.06
1.566960e-03,0.06,0.02
1.567040e-03,0.02,0.06
1.567120e-03,0.06,0.02
1.567200e-03,0.06,0.06
1.567280e-03,0.06,0.02
1.567360e-03,0.06,0.06
1.567440e-03,0.06,0.02
1.567520e-03,0.06,0.06
1.567600e-03,0.06,0.02
1.567680e-03,0.06,0.06
1.567760e-03,0.02,0.02
1.567840e-03,0.02,0.06
1.567920e-03,0.06,0.02
1.568000e-03,0.06,0.06
1.568080e-03,0.02,0.02
1.568160e-03,0.06,0.06
1.568240e-03,0.02,0.02
1.568320e-03,0.06,0.06
